ID,flags,home,work,visiting,health,agegroup,education,wellbeing,gender,subculture,happiness,family,class,name,taxRate
0,Created- Criminal- Unemployed,44172,31240,0,ExcellentHealth,Adult,Uneducated,81,Male,Generic,Suberb,212,Low Residential - Level1 (ItemClass),,9
0,Created- Criminal- NeedGoods- Unemployed,14938,31240,0,ExcellentHealth,Adult,Uneducated,40,Male,Generic,Excellent,166,Low Residential - Level1 (ItemClass),,9
27462,12058625,15504,31240,0,ExcellentHealth,Adult,Uneducated,48,Female,Generic,Excellent,31,Low Residential - Level1 (ItemClass),Elisabeth Wright,9
0,10485761,18926,29347,0,ExcellentHealth,Adult,Uneducated,96,Male,Generic,Suberb,177,Low Residential - Level1 (ItemClass),,9
0,Created- Original,9205,0,0,VeryHealthy,Child,Uneducated,55,Male,Generic,Excellent,205,Low Residential - Level1 (ItemClass),,9
0,Created- Original,42659,0,0,VeryHealthy,Child,Uneducated,70,Male,Generic,Suberb,76,Low Residential - Level1 (ItemClass),,9
0,2097153,38492,45669,0,VeryHealthy,Adult,Uneducated,67,Male,Generic,Suberb,197,Low Residential - Level1 (ItemClass),,9
0,672137221,12618,0,28554,Sick,Young,Uneducated,15,Male,Generic,Poor,233,Low Residential - Level1 (ItemClass),,9
0,-2112880635,34317,0,32197,VerySick,Adult,Uneducated,0,Male,Generic,Bad,203,Low Residential - Level1 (ItemClass),,9
0,1048577,23647,28554,37196,ExcellentHealth,Adult,Uneducated,78,Male,Generic,Suberb,240,Low Residential - Level1 (ItemClass),,9
0,Created- Original,12329,0,0,ExcellentHealth,Teen,Uneducated,44,Male,Generic,Excellent,22,Low Residential - Level1 (ItemClass),,9
0,Created- Original,5824,0,0,ExcellentHealth,Teen,Uneducated,59,Male,Generic,Suberb,19,Low Residential - Level1 (ItemClass),,9
0,66060293,11158,0,32197,VerySick,Adult,Uneducated,0,Male,Generic,Bad,111,Low Residential - Level1 (ItemClass),,9
0,Created- Original,20027,0,0,ExcellentHealth,Teen,Uneducated,50,Male,Generic,Suberb,212,Low Residential - Level1 (ItemClass),,9
0,Created- Original,24553,0,0,VeryHealthy,Child,Uneducated,76,Male,Generic,Suberb,82,Low Residential - Level1 (ItemClass),,9
0,Created- NeedGoods- Original,14017,0,0,VeryHealthy,Child,Uneducated,65,Male,Generic,Excellent,136,Low Residential - Level1 (ItemClass),,9
0,Created,37958,32775,0,ExcellentHealth,Adult,Uneducated,98,Male,Generic,Suberb,215,Low Residential - Level1 (ItemClass),,9
0,Created- Original,5633,0,0,ExcellentHealth,Teen,Uneducated,74,Male,Generic,Suberb,48,Low Residential - Level1 (ItemClass),,9
0,Created- Unemployed,45128,45669,0,ExcellentHealth,Adult,Uneducated,29,Male,Generic,Excellent,147,Low Residential - Level1 (ItemClass),,9
0,Created,24553,16855,0,ExcellentHealth,Adult,Uneducated,100,Male,Generic,Suberb,154,Low Residential - Level1 (ItemClass),,9
49769,Created- Location,43709,27789,0,ExcellentHealth,Adult,Uneducated,91,Female,Generic,Suberb,56,Low Residential - Level1 (ItemClass),Annabel Morgan,9
0,524289,11659,23415,0,ExcellentHealth,Young,Uneducated,46,Male,Generic,Excellent,84,Low Residential - Level1 (ItemClass),,9
0,17825797,38492,0,32197,VerySick,Young,Uneducated,24,Male,Generic,Bad,139,Low Residential - Level1 (ItemClass),,9
0,Created,24553,6232,0,ExcellentHealth,Adult,Uneducated,100,Male,Generic,Suberb,226,Low Residential - Level1 (ItemClass),,9
0,Created- Original,39471,0,0,ExcellentHealth,Teen,Uneducated,62,Male,Generic,Suberb,226,Low Residential - Level1 (ItemClass),,9
0,Created- Original,44172,0,0,VeryHealthy,Child,Uneducated,60,Male,Generic,Excellent,158,Low Residential - Level1 (ItemClass),,9
0,2097153,11659,45669,0,ExcellentHealth,Adult,Uneducated,85,Male,Generic,Suberb,150,Low Residential - Level1 (ItemClass),,9
0,2097153,19975,0,0,VeryHealthy,Adult,Uneducated,57,Male,Generic,Excellent,64,Low Residential - Level1 (ItemClass),,9
0,Created- Original,13044,0,0,VeryHealthy,Child,Uneducated,78,Male,Generic,Suberb,86,Low Residential - Level1 (ItemClass),,9
0,Created,6076,0,0,ExcellentHealth,Teen,Uneducated,82,Male,Generic,Suberb,32,Low Residential - Level1 (ItemClass),,9
0,Created- Unemployed,13023,45669,0,VeryHealthy,Adult,Uneducated,81,Male,Generic,Suberb,21,Low Residential - Level1 (ItemClass),,9
40163,657409,42036,28554,0,ExcellentHealth,Adult,OneSchool,100,Male,Generic,Suberb,32,Low Residential - Level1 (ItemClass),Tyler Ward,9
0,Created- Original,14198,0,0,VeryHealthy,Child,Uneducated,82,Male,Generic,Suberb,156,Low Residential - Level1 (ItemClass),,9
2697,Created- Location,19178,47214,0,VeryHealthy,Adult,Uneducated,96,Female,Generic,Suberb,66,Low Residential - Level1 (ItemClass),Rosemary Lewis,9
0,Created- Original,31117,0,0,VeryHealthy,Child,Uneducated,65,Male,Generic,Excellent,165,Low Residential - Level1 (ItemClass),,9
30349,Created- Location,12618,0,0,VeryHealthy,Child,Uneducated,51,Female,Generic,Excellent,148,Low Residential - Level1 (ItemClass),Emma Williams,9
0,Created- Original,40853,0,0,VeryHealthy,Child,Uneducated,49,Male,Generic,Excellent,157,Low Residential - Level1 (ItemClass),,9
0,Created,6076,26589,0,ExcellentHealth,Adult,Uneducated,100,Male,Generic,Suberb,32,Low Residential - Level1 (ItemClass),,9
0,2097153,36120,37030,0,ExcellentHealth,Adult,Uneducated,47,Male,Generic,Excellent,46,Low Residential - Level1 (ItemClass),,9
0,2097153,45128,0,0,ExcellentHealth,Adult,Uneducated,39,Male,Generic,Excellent,103,Low Residential - Level1 (ItemClass),,9
0,Created- Unemployed,6076,37030,0,ExcellentHealth,Adult,Uneducated,93,Male,Generic,Suberb,125,Low Residential - Level1 (ItemClass),,9
0,-2081423355,37958,0,28554,VerySick,Adult,Uneducated,0,Male,Generic,Bad,60,Low Residential - Level1 (ItemClass),,9
0,Created- Unemployed,25106,37030,0,ExcellentHealth,Young,Uneducated,70,Male,Generic,Suberb,134,Low Residential - Level1 (ItemClass),,9
0,Created- Original,6076,0,0,ExcellentHealth,Child,Uneducated,84,Male,Generic,Suberb,77,Low Residential - Level1 (ItemClass),,9
0,2230273,48228,45862,0,VeryHealthy,Adult,OneSchool,99,Male,Generic,Suberb,144,Low Residential - Level1 (ItemClass),,9
0,524289,14938,16855,0,ExcellentHealth,Adult,Uneducated,50,Male,Generic,Excellent,164,Low Residential - Level1 (ItemClass),,9
0,Created- Original,41775,0,0,ExcellentHealth,Teen,Uneducated,63,Male,Generic,Suberb,90,Low Residential - Level1 (ItemClass),,9
0,Created- Original,15504,0,0,ExcellentHealth,Teen,Uneducated,46,Male,Generic,Excellent,198,Low Residential - Level1 (ItemClass),,9
0,Created- NeedGoods- Original,45128,0,0,VeryHealthy,Child,Uneducated,28,Male,Generic,Excellent,147,Low Residential - Level1 (ItemClass),,9
24657,3670017,2852,37030,0,ExcellentHealth,Adult,Uneducated,39,Female,Generic,Excellent,98,Low Residential - Level1 (ItemClass),Mary Hancock,9
0,Created- Original,36405,0,0,ExcellentHealth,Teen,Uneducated,75,Male,Generic,Suberb,96,Low Residential - Level1 (ItemClass),,9
0,12582913,25905,37030,0,VeryHealthy,Adult,Uneducated,51,Male,Generic,Excellent,84,Low Residential - Level1 (ItemClass),,9
0,Created- Unemployed,44172,0,0,ExcellentHealth,Young,Uneducated,68,Male,Generic,Suberb,184,Low Residential - Level1 (ItemClass),,9
0,524289,44118,38136,0,VeryHealthy,Adult,Uneducated,53,Male,Generic,Excellent,2,Low Residential - Level1 (ItemClass),,9
0,Created- Unemployed,45128,45669,0,ExcellentHealth,Adult,Uneducated,29,Male,Generic,Excellent,208,Low Residential - Level1 (ItemClass),,9
